Brand,Product_name,Processor,RAM,ROM,Battery,Display_Size,Camera,No_of_ratings,No_of_reviews,Rating,Price
realme,"realme 9 Pro+ 5G (Aurora Green, 256 GB)",Mediatek Dimensity 920,8 GB,256 GB,4500 mAh,6.4 inch,50MP + 8MP + 2MP | 16MP Front Camera,32649,3550,4.4,21999.0
APPLE,"APPLE iPhone 13 (Starlight, 128 GB)",A15 Bionic Chip,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,225513,11650,4.7,61999.0
REDMI,"REDMI K50i 5G (Quick Silver, 128 GB)",Dimensity 8100,6 GB,128 GB,5080 mAh,6.6 inch,64MP + 8MP + 2MP | 16MP Front Camera,2443,261,4.1,20999.0
APPLE,"APPLE iPhone 11 (White, 64 GB)",A13 Bionic Chip,,64 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,195903,11239,4.6,41199.0
SAMSUNG,"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)",Core,8 GB,128 GB,3300 mAh,6.7 inch,12MP + 12MP | 10MP Front Camera,4314,291,4.3,44999.0
MOTOROLA,"MOTOROLA Edge 40 (Eclipse Black, 256 GB)",Dimensity 8020,8 GB,256 GB,4400 mAh,6.55 inch,50MP + 13MP | 32MP Front Camera,2151,482,4.3,29999.0
realme,"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)",Mediatek Dimensity 920,8 GB,256 GB,4500 mAh,6.4 inch,50MP + 8MP + 2MP | 16MP Front Camera,32649,3550,4.4,21999.0
POCO,"POCO F5 5G (Carbon Black, 256 GB)",,8 GB,256 GB,5000 mAh,6.67 inch,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,0,0,,29999.0
SAMSUNG,"SAMSUNG Galaxy S20 FE (Cloud Mint, 128 GB)",,8 GB,128 GB,4500 mAh,6.5 inch,12MP Rear Camera,1011,91,4.0,27696.0
REDMI,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)",Mediatek Dimensity 1080,8 GB,128 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,10198,987,4.2,25999.0
REDMI,"REDMI K50i 5G (Phantom Blue, 128 GB)",Dimensity 8100,6 GB,128 GB,5080 mAh,6.6 inch,64MP + 8MP + 2MP | 16MP Front Camera,2443,261,4.1,25990.0
vivo,"vivo V27 5G (Magic Blue, 256 GB)",Mediatek Dimensity 7200 5G,12 GB,256 GB,4600 mAh,,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,1942,230,4.4,36999.0
POCO,"POCO F5 5G (Electric Blue, 256 GB)",,8 GB,256 GB,5000 mAh,6.67 inch,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,0,0,,29999.0
OnePlus,"OnePlus 10R (Forest Green, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,50MP Rear Camera,1759,108,4.3,31020.0
APPLE,"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,37021,1428,4.6,67999.0
OPPO,"OPPO Reno8T 5G (Sunrise Gold, 128 GB)",Qualcomm Snapdragon 695,8 GB,128 GB,4800 mAh,6.7 inch,108MP + 2MP + 2MP | 32MP Front Camera,10326,900,4.3,29999.0
OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",,8 GB,128 GB,4500 mAh,6.7 inch,50MP Rear Camera,8983,752,4.3,27799.0
OPPO,"OPPO Reno8T 5G (Midnight Black, 128 GB)",Qualcomm Snapdragon 695,8 GB,128 GB,4800 mAh,6.7 inch,108MP + 2MP + 2MP | 32MP Front Camera,10326,900,4.3,29999.0
Nothing,"Nothing Phone (1) (Black, 256 GB)",,8 GB,256 GB,4500 mAh,6.55 inch,50MP + 50MP | 16MP Front Camera,69604,8600,4.4,30499.0
Nothing,"Nothing Phone (1) (White, 256 GB)",,8 GB,256 GB,4500 mAh,6.55 inch,50MP + 50MP | 16MP Front Camera,69604,8600,4.4,30999.0
Nothing,"Nothing Phone (1) (Black, 256 GB)",,8 GB,256 GB,4500 mAh,6.55 inch,50MP + 50MP | 16MP Front Camera,69604,8600,4.4,30499.0
Nothing,"Nothing Phone (1) (Black, 128 GB)",,8 GB,128 GB,4500 mAh,6.55 inch,50MP + 50MP | 16MP Front Camera,69604,8600,4.4,29499.0
REDMI,"REDMI Note 12 Pro+ 5G (Arctic White, 256 GB)",Mediatek Dimensity 1080,12 GB,256 GB,4980 mAh,6.67 inch,200MP + 8MP + 2MP | 16MP Front Camera,4325,472,4.2,32999.0
Google,"Google Pixel 7a (Sea, 128 GB)",Tensor G2,8 GB,128 GB,4300 mAh,6.1 inch,64MP (OIS) + 13MP | 13MP Front Camera,2145,386,4.0,43999.0
Google,"Google Pixel 7a (Charcoal, 128 GB)",Tensor G2,8 GB,128 GB,4300 mAh,6.1 inch,64MP (OIS) + 13MP | 13MP Front Camera,2145,386,4.0,43999.0
MOTOROLA,"MOTOROLA Edge 30 Fusion (Cosmic grey, 128 GB)",,8 GB,128 GB,4400 mAh,6.55 inch,50MP + 13MP + 2MP | 32MP Front Camera,3585,559,4.3,34999.0
REDMI,"REDMI K50i 5G (Stealth Black, 128 GB)",Dimensity 8100,6 GB,128 GB,5080 mAh,6.6 inch,64MP + 8MP + 2MP | 16MP Front Camera,2443,261,4.1,20999.0
MOTOROLA,"MOTOROLA Edge 30 (Meteor Grey, 128 GB)",Qualcomm Snapdragon 778G Plus,8 GB,128 GB,4020 mAh,6.55 inch,50MP + 50MP + 2MP | 32MP Front Camera,6232,822,4.1,24999.0
OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)",,8 GB,128 GB,4500 mAh,6.7 inch,50MP Rear Camera,8983,752,4.3,27988.0
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Graphite, 256 GB)",Octa Core,8 GB,256 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,32999.0
REDMI,"REDMI K50i 5G (Quick Silver, 256 GB)",Dimensity 8100,8 GB,256 GB,5080 mAh,6.6 inch,64MP + 8MP + 2MP | 16MP Front Camera,871,90,4.2,23999.0
SAMSUNG,"SAMSUNG M53 5G (Deep Ocean Blue, 128 GB)",,6 GB,128 GB,5000 mAh,6.7 inch,108MP Rear Camera,707,74,4.1,24290.0
Google,"Google Pixel 7a (Snow, 128 GB)",Tensor G2,8 GB,128 GB,4300 mAh,6.1 inch,64MP (OIS) + 13MP | 13MP Front Camera,2145,386,4.0,43999.0
SAMSUNG,"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)",,6 GB,128 GB,5000 mAh,6.6 inch,50MP + 5MP | 8MP Front Camera,560,39,4.1,21999.0
MOTOROLA,"MOTOROLA Edge 30 (Aurora Green, 128 GB)",Qualcomm Snapdragon 778G Plus,8 GB,128 GB,4020 mAh,6.55 inch,50MP + 50MP + 2MP | 32MP Front Camera,6232,822,4.1,24999.0
REDMI,"REDMI Note 12 Pro 5G (Onyx Black, 256 GB)",Mediatek Dimensity 1080,8 GB,256 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,10198,987,4.2,26999.0
REDMI,"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)",Mediatek Dimensity 1080,12 GB,256 GB,4980 mAh,6.67 inch,200MP + 8MP + 2MP | 16MP Front Camera,4325,472,4.2,32999.0
realme,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",Mediatek Dimensity 1080 5G,8 GB,128 GB,5000 mAh,6.7 inch,108MP + 8MP + 2MP | 16MP Front Camera,17002,1475,4.4,25999.0
OnePlus,"OnePlus 10R (Forest Green, 256 GB)",,12 GB,256 GB,5000 mAh,6.7 inch,50MP Rear Camera,139,5,4.2,37300.0
vivo,"vivo V23 5G (Stardust Black, 128 GB)",Mediatek Dimensity 920,8 GB,128 GB,4200 mAh,6.44 inch,64MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera,26436,2988,4.4,28490.0
OnePlus,"OnePlus 10R (Sierra Black, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,50MP Rear Camera,1759,108,4.3,31070.0
realme,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",Mediatek Dimensity 1080 5G,6 GB,128 GB,5000 mAh,6.7 inch,108MP + 8MP + 2MP | 16MP Front Camera,24846,2185,4.4,24999.0
realme,"realme 10 Pro+ 5G (Dark Matter, 128 GB)",Mediatek Dimensity 1080 5G,6 GB,128 GB,5000 mAh,6.7 inch,108MP + 8MP + 2MP | 16MP Front Camera,24846,2185,4.4,24999.0
realme,"realme 10 Pro+ 5G (Dark Matter, 128 GB)",Mediatek Dimensity 1080 5G,8 GB,128 GB,5000 mAh,6.7 inch,108MP + 8MP + 2MP | 16MP Front Camera,17002,1475,4.4,25999.0
realme,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",Mediatek Dimensity 1080 5G,6 GB,128 GB,5000 mAh,6.7 inch,108MP + 8MP + 2MP | 16MP Front Camera,24846,2185,4.4,24999.0
realme,"realme 10 Pro+ 5G (Hyperspace, 128 GB)",Mediatek Dimensity 1080 5G,6 GB,128 GB,5000 mAh,6.7 inch,108MP + 8MP + 2MP | 16MP Front Camera,24846,2185,4.4,24999.0
IQOO,"IQOO Neo 7 5G (Frost Blue, 256 GB)",,12 GB,256 GB,5000 mAh,6.78 inch,64MP Rear Camera,184,18,4.4,34470.0
POCO,"POCO F5 5G (Snowstorm White, 256 GB)",,12 GB,256 GB,5000 mAh,6.67 inch,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,500,77,4.2,32999.0
APPLE,"APPLE iPhone 11 (Black, 64 GB)",A13 Bionic Chip,,64 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,195903,11239,4.6,41199.0
MOTOROLA,"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)",Gen 1,12 GB,256 GB,4610 mAh,6.67 inch,200MP + 50MP + 12MP | 60MP Front Camera,566,97,4.3,49999.0
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)",Octa Core,8 GB,128 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,30999.0
SAMSUNG,"SAMSUNG Galaxy A14 5G (Black, 128 GB)",,6 GB,128 GB,5000 mAh,6.6 inch,50MP + 2MP | 13MP Front Camera,1783,142,4.0,20300.0
Google,"Google Pixel 7 (Obsidian, 128 GB)",Google Tensor G2,8 GB,128 GB,4270 mAh,6.3 inch,8MP Front Camera,4649,688,4.4,55999.0
Google,"Google Pixel 7 (Snow, 128 GB)",Google Tensor G2,8 GB,128 GB,4270 mAh,6.3 inch,8MP Front Camera,4649,688,4.4,55999.0
IQOO,"IQOO Neo 7 5G (Interstellar Black, 128 GB)",,8 GB,128 GB,5000 mAh,6.78 inch,64MP Rear Camera,385,42,4.5,30281.0
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)",Octa Core,8 GB,128 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,30999.0
vivo,"vivo Y100 5G (Pacific Blue, 128 GB)",Mediatek Dimensity 900,8 GB,128 GB,4500 mAh,6.38 inch,64MP (OIS) + 2MP + 2MP | 16MP Front Camera,1394,89,4.3,23999.0
vivo,"vivo Y100 5G (Twilight Gold, 128 GB)",Mediatek Dimensity 900,8 GB,128 GB,4500 mAh,6.38 inch,64MP (OIS) + 2MP + 2MP | 16MP Front Camera,1394,89,4.3,23999.0
REDMI,"REDMI Note 12 (Sunrise Gold, 128 GB)",Snapdragon 685,6 GB,128 GB,5000 mAh,6.67 inch,50MP + 8MP + 2MP | 13MP Front Camera,5377,459,4.1,20999.0
OnePlus,"OnePlus Nord (Blue Marble, 256 GB)",765G,12 GB,256 GB,4115 mAh,6.44 inch,48MP + 8MP | 32MP + 8MP Dual Front Camera,0,0,,26990.0
APPLE,"APPLE iPhone 14 (Yellow, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,37021,1428,4.6,69999.0
OnePlus,"OnePlus Nord (Blue Marble, 128 GB)",765G,8 GB,128 GB,4115 mAh,6.44 inch,48MP + 8MP | 32MP + 8MP Dual Front Camera,0,0,,24999.0
OnePlus,"OnePlus Nord (Gray Onyx, 128 GB)",765G,8 GB,128 GB,4115 mAh,6.44 inch,48MP + 8MP | 32MP + 8MP Dual Front Camera,0,0,,24999.0
Google,"Google Pixel 7 (Lemongrass, 128 GB)",Google Tensor G2,8 GB,128 GB,4270 mAh,6.3 inch,8MP Front Camera,4649,688,4.4,55999.0
SAMSUNG,"SAMSUNG Galaxy A23 5G (Silver, 128 GB)",,6 GB,128 GB,5000 mAh,6.6 inch,50MP + 5MP | 8MP Front Camera,560,39,4.1,21999.0
OnePlus,"OnePlus Nord (Gray Onyx, 64 GB)",765G,6 GB,64 GB,4115 mAh,6.44 inch,48MP + 8MP | 32MP + 8MP Dual Front Camera,0,0,,22890.0
vivo,"vivo V23 5G (Stardust Black, 256 GB)",Mediatek Dimensity 920,12 GB,256 GB,4200 mAh,6.44 inch,64MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera,3402,364,4.3,28089.0
POCO,"POCO F5 5G (Carbon Black, 256 GB)",,12 GB,256 GB,5000 mAh,6.67 inch,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,500,77,4.2,32999.0
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Violet, 256 GB)",Octa Core,8 GB,256 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,32999.0
SAMSUNG,"SAMSUNG Galaxy S20 FE (Cloud Mint, 128 GB)",,8 GB,128 GB,4500 mAh,6.5 inch,12MP Rear Camera,1011,91,4.0,27695.0
POCO,"POCO F5 5G (Electric Blue, 256 GB)",,12 GB,256 GB,5000 mAh,6.67 inch,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,500,77,4.2,32999.0
REDMI,"REDMI K50i 5G (Phantom Blue, 256 GB)",Dimensity 8100,8 GB,256 GB,5080 mAh,6.6 inch,64MP + 8MP + 2MP | 16MP Front Camera,871,90,4.2,29990.0
SAMSUNG,"SAMSUNG Galaxy A14 5G (Black, 128 GB)",,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 2MP | 13MP Front Camera,1044,89,4.1,20999.0
