,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
54,0.31350231170654297,0.013572699867685507,0.016310787200927733,0.00035352677967068945,8,5,50,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 50}",0.996284130000049,0.9969886128286505,0.9970328410155527,0.9934324060450531,0.997049750195334,0.9961575480169278,0.0013924979746629536,11
73,0.34154410362243653,0.01335914585600724,0.01707320213317871,0.0052476332596646125,10,6,40,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 40}",0.9964593319552824,0.9970094184248214,0.9967132242577957,0.9936773202181207,0.9967593331513069,0.9961237256014656,0.001235596076794943,12
62,0.190695858001709,0.003988635077107037,0.020633697509765625,0.0032539042538855395,10,4,30,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 30}",0.9963935214846334,0.9969524046933452,0.9973391991419783,0.9928661055720295,0.9969210998306727,0.9960944661445319,0.0016419797880647612,13
71,0.16085567474365234,0.006971237612079241,0.013589572906494141,0.0019857252482844844,10,6,20,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 20}",0.9964245593224111,0.9971254314519263,0.9953960427791934,0.9944928117792893,0.9969839679155753,0.9960845626496792,0.001001565362692096,14
53,0.26012892723083497,0.005047835616198524,0.007811164855957032,0.005200134021931345,8,5,40,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 40}",0.9965694218410943,0.9969615867287236,0.9968446824562182,0.9931386454350354,0.9968924462717675,0.9960813565465678,0.0014773689165475062,15
55,0.07606830596923828,0.0033817220446818526,0.0013879299163818359,0.0016292097605704718,8,6,10,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 10}",0.995556473560569,0.9970323359344989,0.9970296842943244,0.9938744389214695,0.9968720165580089,0.9960729898537741,0.0012308101488325378,16
52,0.1839592933654785,0.004423670655348319,0.013289833068847656,0.00707756340066074,8,5,30,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 30}",0.9966419259878788,0.9971169736070569,0.9964087521128334,0.993469767322534,0.9966791667279773,0.9960633171516561,0.001316820173035069,17
63,0.25833897590637206,0.0068962934420541445,0.016661787033081056,0.0018636959147083298,10,4,40,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 40}",0.996188013235907,0.9968311616528637,0.9971307837282675,0.9928093894325905,0.9970823467175279,0.9960083389534313,0.0016343789664131818,18
56,0.14905567169189454,0.007847621863046602,0.0033367633819580077,0.0066735267639160155,8,6,20,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 20}",0.9961830416504046,0.9967327088225494,0.9967663957176872,0.9937646568572395,0.9965370328479193,0.9959967671791599,0.001135151078094167,19
64,0.32373671531677245,0.020084642464163478,0.020791244506835938,0.005446288244724239,10,4,50,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 50}",0.9960563347864932,0.9964985464011532,0.9970236806173951,0.9932364794576283,0.9971326308655958,0.9959895344256531,0.0014296149798656414,20
51,0.12606496810913087,0.008158990937252694,0.009954071044921875,0.0033258874731932784,8,5,20,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 20}",0.9962858482214987,0.9970222101291896,0.9970079615577315,0.9926211511553188,0.9967519054680142,0.9959378153063506,0.0016795985188864655,21
70,0.09298663139343262,0.006408183727350563,0.00191192626953125,0.0023863005147784755,10,6,10,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 10}",0.9965249281017583,0.9968082526082138,0.9971750365398059,0.9927707451644036,0.9960459724239896,0.9958649869676343,0.0015905087439575109,22
61,0.12639937400817872,0.0008590856912944829,0.015489482879638672,0.00023237481703352537,10,4,20,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 20}",0.9953183972339322,0.9969265106157706,0.9970316578209318,0.9917281384964477,0.9967071908937327,0.995542379012163,0.002004452889668547,23
60,0.06624226570129395,0.005536739411879389,0.007103252410888672,0.007949424305073921,10,4,10,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 10}",0.9960641138017174,0.9965182675226885,0.9967369515532454,0.9914159628075305,0.9968316040709037,0.995513379951217,0.0020657577955692005,24
65,0.07788224220275879,0.009946724244949382,0.010976934432983398,0.008024458861673339,10,5,10,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 10}",0.9959018153493918,0.9964504329168054,0.9967796446868783,0.9931974389258459,0.9952340866194193,0.9955126836996682,0.0012707448110462708,25
42,0.17533373832702637,0.005913429588051183,0.004873037338256836,0.0037571519472834516,6,6,30,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 30}",0.9957077455014006,0.9962926332092094,0.9967381875555708,0.9920746732460471,0.9960942090920138,0.9953814897208483,0.0016864316413965972,26
44,0.27392101287841797,0.009204019254214369,0.016073322296142577,0.0013311208548743814,6,6,50,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 50}",0.9953434048092007,0.9959517022897858,0.9967271710688501,0.9924521098661974,0.9962679115688228,0.9953484599205714,0.0015165095655154334,27
43,0.23241443634033204,0.006577131936780228,0.011077880859375,0.0028240967419393788,6,6,40,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 40}",0.9956355361206001,0.9962091922738194,0.996231971096872,0.9920795272959558,0.9957919337540652,0.9951896321082625,0.0015722800706397318,28
46,0.10932626724243164,0.006628911160656864,0.007636117935180664,0.005199759920208097,8,4,20,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 20}",0.9953069886687341,0.9960066373475763,0.9967281957792097,0.991382486530066,0.9963399926428365,0.9951528601936845,0.001942131521678604,29
47,0.15951719284057617,0.0200350848861581,0.014574241638183594,0.004748041548304634,8,4,30,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 30}",0.995290295729744,0.9959615929130368,0.9964749195407638,0.991117851974119,0.9965449012082964,0.995077912273192,0.002030357683735323,30
48,0.20852308273315429,0.012134629957495235,0.01583251953125,0.00437339739920697,8,4,40,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 40}",0.9956500265507772,0.996180358171682,0.9965321533658626,0.9911332239679379,0.9958625649067454,0.9950716653926011,0.001991661081845573,31
49,0.26499714851379397,0.005256296696488688,0.017005252838134765,0.001862215868653565,8,4,50,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 50}",0.9945155404207955,0.9966075834277375,0.9964078144879088,0.9910667422585328,0.9962876928219538,0.9949770746833858,0.002094135077171448,32
40,0.05559782981872559,0.005339132764020019,0.010099267959594727,0.0056393899254566435,6,6,10,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 10}",0.9945776741765325,0.9959176128889841,0.9962277467407463,0.9924080820971278,0.9951414533021729,0.9948545138411127,0.001353510318719171,33
41,0.11504497528076171,0.005871931617264647,0.01116633415222168,0.005608396758084653,6,6,20,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 20}",0.9947299065317304,0.9956938010129703,0.995814015878137,0.9918359993204482,0.9956211121645961,0.9947389669815765,0.0015015273300700656,34
45,0.056708145141601565,0.006584573659090247,0.009143590927124023,0.009091567490977472,8,4,10,"{'max_depth': 8, 'max_features': 4, 'n_estimators': 10}",0.9940184536502368,0.9961859599486916,0.9965017195118328,0.9883978275456079,0.9955314862089123,0.9941270893730563,0.0029895280438053994,35
39,0.24153952598571776,0.012873190350532348,0.011014604568481445,0.00675629719638014,6,5,50,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 50}",0.9934035322632637,0.9950495410637159,0.995216139313966,0.9873292434939969,0.9951781727208694,0.9932353257711624,0.003029843394557178,36
38,0.1964113235473633,0.008235084858524895,0.013977575302124023,0.0034407373501927755,6,5,40,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 40}",0.9941971361080512,0.9946319536566429,0.9945749343095951,0.9877317319311635,0.9949997903081358,0.9932271092627177,0.0027594471299064705,37
37,0.13946948051452637,0.003756058637098235,0.009067630767822266,0.002717673697771242,6,5,30,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 30}",0.9935350840885886,0.9937525054081761,0.9956766435446448,0.9875689727984843,0.9953817438353768,0.9931829899350542,0.002933200764202364,38
35,0.050406694412231445,0.004409634796135707,0.007633399963378906,0.004760794674162969,6,5,10,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 10}",0.9912747857114539,0.9941175237727102,0.9939781882606669,0.9852558316214974,0.994624009334425,0.9918500677401507,0.0034979967175219084,39
36,0.09820008277893066,0.005987933095247979,0.01303553581237793,0.00482301576121542,6,5,20,"{'max_depth': 6, 'max_features': 5, 'n_estimators': 20}",0.990714561144983,0.9928487363344646,0.9942784194727673,0.9856855367884194,0.9951097422068156,0.9917273991894898,0.003368539385048487,40
34,0.22949504852294922,0.010834134061759027,0.012916755676269532,0.005475155251256037,6,4,50,"{'max_depth': 6, 'max_features': 4, 'n_estimators': 50}",0.9896144905993951,0.990026434548264,0.9921117452300782,0.9831014716046103,0.9928011514839276,0.9895310586932551,0.00343352291712475,41
33,0.1785632610321045,0.005861471380561411,0.012364006042480469,0.00618610234727043,6,4,40,"{'max_depth': 6, 'max_features': 4, 'n_estimators': 40}",0.9905757717886563,0.990057762377184,0.9920116574653266,0.9826463377856173,0.9911491279078135,0.9892881314649195,0.00338362746939443,42
32,0.13526077270507814,0.005508187336770877,0.008083963394165039,0.00700763197351395,6,4,30,"{'max_depth': 6, 'max_features': 4, 'n_estimators': 30}",0.9877977914545758,0.989828013661341,0.9909422678994098,0.9822428931927921,0.9920510823107184,0.9885724097037674,0.0034628527247565146,43
31,0.08806777000427246,0.005429631184122649,0.008270978927612305,0.007055928214152197,6,4,20,"{'max_depth': 6, 'max_features': 4, 'n_estimators': 20}",0.9893124841958224,0.9898174674162554,0.9884380363756543,0.981435287924583,0.9920970230570528,0.9882200597938736,0.0036015715858102784,44
30,0.04961528778076172,0.003099602143454281,0.003467273712158203,0.005848677669008143,6,4,10,"{'max_depth': 6, 'max_features': 4, 'n_estimators': 10}",0.9898046080728327,0.9891522510185614,0.9910117720394265,0.9820062339359823,0.9876550058807011,0.9879259741895009,0.003151885689335845,45
28,0.17170286178588867,0.009215945903698624,0.014997720718383789,0.007779687805840922,4,6,40,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 40}",0.9707542039045365,0.9658051759793498,0.9832688523916611,0.9629670177708565,0.9734653735924171,0.9712521247277642,0.00704074409969017,46
27,0.13025178909301757,0.007713735892019787,0.009332942962646484,0.007620411095146896,4,6,30,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 30}",0.9704637114025815,0.9666896525922632,0.9815857944364231,0.9637064465619156,0.9723241828014828,0.9709539575589332,0.006096958691008975,47
29,0.21998019218444825,0.0046393874833600725,0.011831331253051757,0.004525993299030188,4,6,50,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 50}",0.969942575865951,0.9662639516064468,0.9808578279259257,0.9642338994775622,0.9730881387851108,0.9708772787321994,0.0058444881541546605,48
25,0.047717857360839847,0.0038850614310074394,0.0033570289611816405,0.006140930217633588,4,6,10,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 10}",0.9672288826143018,0.9680643979049124,0.9820984327354494,0.96314946008308,0.9711765685924969,0.9703435483860481,0.006411268283708031,49
26,0.09243574142456054,0.0027279774956271634,0.007057809829711914,0.0076604494252149,4,6,20,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 20}",0.9691320534133099,0.9651314269230065,0.9802115313784826,0.9645897855231199,0.9709982628757674,0.9700126120227373,0.005639110963910869,50
24,0.18430719375610352,0.02452199732253316,0.010851430892944335,0.006302006706293446,4,5,50,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 50}",0.9631995231473292,0.9656072912832413,0.9790573574929505,0.9577472717194103,0.9727629651439523,0.9676748817573767,0.007460704424420887,51
22,0.11943626403808594,0.006368597009235109,0.007652091979980469,0.006993314522442292,4,5,30,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 30}",0.9637027896924625,0.9645088346586124,0.9768631300497657,0.9573436447255961,0.9733411488674385,0.9671519095987751,0.007038448955023799,52
23,0.1616382598876953,0.0070780904726665764,0.00625,0.007654655483327398,4,5,40,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 40}",0.960776745049409,0.9663425654860975,0.9781634394101061,0.9554686970505775,0.9708822949206839,0.9663267483833747,0.007868422010153264,53
21,0.07460317611694336,0.0040363032704663,0.014155149459838867,0.0030711718594031282,4,5,20,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 20}",0.9622999201409751,0.9647077142258011,0.9789662323046546,0.9564906742228391,0.9674013581692489,0.9659731798127037,0.0074279372440280165,54
20,0.045654296875,0.005922508557243371,0.0024059295654296877,0.0030238025667246927,4,5,10,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 10}",0.9576614483146659,0.9573406860046657,0.9769967602783131,0.9552560831945263,0.9691867465805485,0.9632883448745438,0.008417429942589132,55
